sq_meters;functionality;year_build;concrete_base;single_wall_length;brick_wall_total;glass_windows_lengh;glass_window_area;steel;copper;glass;polystyrene;timber
9044;3;1974;2713.2;95.09994742;106.5119411;11;1;3263.24;881.5592;1812.8;2988.62;908.2
7696;2;1974;2308.8;87.7268488;98.25407065;82;8;2774.46;752.1728;1541.9;2539.98;772.9
6088;2;1972;1826.4;78.02563681;87.38871323;77;4;2192.18;592.0184;1222.6;2009.54;609
2988;2;2017;896.4;54.66260147;61.22211365;40;2;1087.68;299.2384;605.8;991.24;299.2
9589;3;2006;2876.7;97.92343948;109.6742522;9;1;3462.54;935.7152;1918.4;3166.57;959
4074;2;1944;1222.2;63.82789359;71.48724082;53;1;1479.24;396.3632;829;1345.92;410.2
8600;3;1987;2580;92.73618495;103.8645271;82;4;3104.9;838.08;1733.7;2838.3;861.1
323;3;1967;96.9;17.97220076;20.12886485;17;4;130.88;31.3664;79.4;112.29;32.8
1102;3;1948;330.6;33.19638535;37.17995159;7;4;411.12;109.6736;223.9;363.76;111.2
9238;2;1940;2771.4;96.11451503;107.6482568;62;4;3331.08;903.4384;1848.6;3053.64;924.8
4657;3;2013;1397.1;68.24221567;76.43128155;53;4;1679.12;456.0976;944.2;1539.61;466.2
10367;3;1977;3110.1;101.8184659;114.0366818;88;4;3741.92;1012.5256;2083.9;3426.41;1036.9
6352;1;1985;1905.6;79.69943538;89.26336763;41;3;2297.02;620.2736;1285.4;2097.46;637.8
5464;3;1969;1639.2;73.91887445;82.78913938;12;3;1978.74;530.7152;1096.6;1804.62;548.7
10731;2;1950;3219.3;103.5905401;116.0214049;25;1;3866.16;1041.7608;2152.3;3542.13;1074.2
4289;3;1941;1286.7;65.49045732;73.3493122;43;6;1553.74;421.7752;868.5;1420.47;430.7
6508;3;1945;1952.4;80.67217612;90.35283725;50;8;2346.08;637.7744;1303.7;2151.14;652.9
9969;1;1953;2990.7;99.84487969;111.8262653;17;1;3599.04;968.6992;2002.4;3290.67;1000.6
3390;2;1991;1017;58.22370651;65.21055129;28;2;1222.1;329.752;680.2;1122;342.4
9666;3;1961;2899.8;98.31581765;110.1137158;84;4;3494.76;938.9688;1933.5;3194.88;966.6
10559;2;1993;3167.7;102.7569949;115.0878343;78;2;3807.74;1024.7112;2123.2;3486.17;1056.3
9259;3;1971;2777.7;96.2236977;107.7705414;28;4;3337.44;897.4712;1855.3;3058.17;929.3
8225;2;1976;2467.5;90.69178574;101.5748;66;2;2967.7;803.78;1650.4;2715.65;823.2
4373;3;1975;1311.9;66.12866247;74.06410197;9;4;1585.98;424.1064;878;1445.89;439.2
2753;2;2000;825.9;52.46903849;58.76532311;15;3;991.48;267.8904;558.4;913.59;278.4
10710;1;1985;3213;103.4891299;115.9078254;87;6;3860.2;1036.928;2155.5;3537.5;1071.2
2695;1;1961;808.5;51.91338941;58.14299614;9;2;975.9;270.876;540.9;893.85;269.7
1013;3;1971;303.9;31.82766093;35.64698024;19;6;375.18;106.3584;205.5;337.39;101.3
7573;2;1966;2271.9;87.02298547;97.46574373;39;2;2739.98;742.4664;1527.5;2504.99;758.9
9465;2;1946;2839.5;97.28823156;108.9628193;95;1;3416.6;916.912;1898.2;3125.35;948
1260;1;1952;378;35.4964787;39.75605614;11;6;462.7;131.868;258.9;419;128.4
9382;1;1981;2814.6;96.86072475;108.4840117;74;6;3386.12;908.8776;1878.3;3098.66;938.5
5546;2;1981;1663.8;74.47147105;83.40804757;9;2;2006.86;545.7528;1121.4;1832.98;557.9
8892;2;1977;2667.6;94.29740187;105.6130901;94;2;3206.62;864.1456;1791.6;2936.66;891.9
6384;1;1944;1915.2;79.89993742;89.48792991;23;2;2298.64;619.3712;1280.1;2109.42;641.1
223;3;1957;66.9;14.93318452;16.72516667;2;8;84.58;27.5864;49.1;74.99;25.7
3370;1;1988;1011;58.05170109;65.01790523;58;2;1226.7;331.916;682.3;1114.6;337.8
5038;1;1989;1511.4;70.9788701;79.49633451;49;4;1826.88;497.2784;1010.4;1666.34;506.1
7932;1;1979;2379.6;89.06177631;99.74918947;81;8;2859.02;774.3176;1601.1;2623.26;794.2
10412;2;1945;3123.6;102.0392082;114.2839131;77;4;3756.12;1012.2816;2091.3;3441.26;1042.2
2964;1;1983;889.2;54.44263036;60.975746;50;4;1081.44;294.1152;595.8;981.62;297
7147;3;1954;2144.1;84.53993139;94.68472316;80;2;2585.82;699.9296;1434.2;2358.91;714.9
3707;3;1956;1112.1;60.88513776;68.19135429;44;4;1343.12;361.3376;753;1226.81;372
6281;3;2006;1884.3;79.2527602;88.76309143;9;4;2269.96;611.6008;1258.3;2076.63;628.6
2775;3;2017;832.5;52.67826876;58.99966102;18;3;1004.5;274.92;557.9;918.45;279.1
10191;1;1962;3057.3;100.9504829;113.0645409;66;1;3672.86;989.0888;2040.8;3365.73;1020.8
7277;2;1995;2183.1;85.30533395;95.54197402;13;2;2623.62;705.1136;1469.8;2401.81;731.7
6821;2;1946;2046.3;82.58934556;92.50006703;65;3;2466.56;662.8728;1371.6;2253.53;684
2607;2;1951;782.1;51.05878964;57.1858444;46;3;945.62;257.4576;533.9;864.31;263.8
7933;3;1969;2379.9;89.06739022;99.75547704;1;1;2858.28;769.4144;1597;2623.39;796.6
8036;3;1954;2410.8;89.64373932;100.400988;47;2;2898.56;783.5848;1608;2657.38;806.9
2573;3;1974;771.9;50.72474741;56.8117171;3;1;941.18;251.6664;521.5;851.79;257.5
7897;1;1941;2369.1;88.86506625;99.5288742;14;1;2857.32;769.9296;1589.6;2610.11;791.9
1866;2;2007;559.8;43.19722213;48.38088879;15;8;681.36;188.6288;387.1;621.18;189.4
9048;1;1961;2714.4;95.1209756;106.5354927;23;4;3257.58;880.0464;1822.7;2990.44;906.5
1284;1;2003;385.2;35.83294573;40.13289922;22;6;476.44;128.0912;270.7;426.62;131.1
9910;2;1984;2973;99.54898292;111.4948609;28;4;3581.1;969.188;1992.2;3275.7;993.1
1991;3;2004;597.3;44.62062303;49.9750978;19;3;718.26;200.3288;404.7;662.43;201.4
3922;2;1945;1176.6;62.62587325;70.14097804;15;3;1419.62;388.8496;786.4;1296.06;396
1088;3;1957;326.4;32.984845;36.94302641;30;4;403.18;105.7184;222;359.44;109.7
9118;1;2001;2735.4;95.48821917;106.9468055;43;6;3283.98;883.4224;1826.5;3014.44;915.2
2885;1;1948;865.5;53.71219601;60.15765953;36;8;1047.3;281.668;580.8;953.45;291.2
10251;2;1982;3075.3;101.2472222;113.3968888;62;2;3694.46;998.1968;2059.9;3387.03;1025.9
4662;2;1956;1398.6;68.27884006;76.47230087;17;2;1692.82;460.1816;939.1;1542.96;468.1
4510;2;1992;1353;67.15653356;75.21531759;47;6;1632.5;437.268;917;1491.5;454.7
7426;3;1989;2227.8;86.17424209;96.51515114;14;1;2673.46;721.6368;1492.8;2452.18;742.6
3143;1;2010;942.9;56.06246516;62.78996098;1;2;1138.58;311.2424;641.2;1041.59;316.8
51;2;1965;15.3;7.141428429;7.99839984;4;4;24.06;13.5368;12.7;17.23;7.5
7802;1;1963;2340.6;88.32893071;98.92840239;47;2;2813.72;764.3336;1567.1;2580.16;782.8
6556;1;1978;1966.8;80.96912992;90.68542551;32;2;2372.06;635.2208;1313;2169.18;657.6
1987;3;1960;596.1;44.57577818;49.92487156;11;4;721.52;198.5416;404.2;656.61;202.4
9249;2;2017;2774.7;96.17172142;107.712328;49;3;3336.94;901.2032;1860.6;3056.67;928.1
9319;2;1952;2795.7;96.53496776;108.1191639;65;4;3356.44;907.4792;1865.7;3075.57;932.9
5971;1;1966;1791.3;77.27224599;86.54491551;38;4;2153.26;583.9928;1209.2;1974.63;600.4
7242;3;1950;2172.6;85.09994125;95.3119342;36;6;2615.02;709.8256;1454.4;2392.36;725.9
599;2;1977;179.7;24.4744765;27.41141368;11;1;215.64;65.0832;125.7;201.87;62.8
5863;2;1976;1758.9;76.5702292;85.75865671;45;4;2116.68;573.6384;1173.2;1940.29;589
8661;2;2005;2598.3;93.06449377;104.232233;35;1;3130.86;845.5848;1736.6;2862.93;868.5
8264;3;1952;2479.2;90.90654542;101.8153309;74;2;2979.94;806.1552;1667.2;2729.32;827.6
4659;3;1987;1397.7;68.25686779;76.44769192;39;2;1680.64;459.8912;936.6;1541.87;468.1
10281;2;2006;3084.3;101.3952662;113.5626981;78;2;3703.36;1002.3008;2060.7;3397.23;1031.6
9777;3;1979;2933.1;98.87871358;110.7441592;10;2;3524.42;946.5136;1957.9;3231.01;981.1
10681;2;1990;3204.3;103.3489236;115.7507944;6;4;3850.86;1038.7208;2145.1;3530.53;1071.2
6646;1;1987;1993.8;81.52300289;91.30576324;38;6;2402.56;644.3328;1334.7;2197.18;666.2
8999;3;2004;2699.7;94.8630592;106.2466263;93;4;3246.34;871.3032;1804.5;2970.47;901.8
3690;1;1998;1107;60.74537019;68.03481462;14;4;1339.6;364.992;741.7;1221.2;372.5
4982;3;1980;1494.6;70.58328414;79.05327824;51;3;1797.82;488.8576;1009.1;1645.76;498.8
7816;2;1996;2344.8;88.40814442;99.01712175;38;2;2817.46;765.6888;1564.5;2580.48;783
4548;1;1964;1364.4;67.4388612;75.53152454;30;6;1639.28;449.0464;913.3;1502.64;456.4
2945;1;1976;883.5;54.2678542;60.77999671;48;2;1072.7;294.976;591.7;971.85;297
400;3;1949;120;20;22.4;8;2;149.1;39.82;84.7;137.9;40.8
8319;3;1956;2495.7;91.20855223;102.1535785;40;2;3001.24;813.4792;1676;2749.57;834.4
33;2;2005;9.9;5.744562647;6.433910164;5;4;17.48;10.0944;21.2;13.79;4
3805;2;2011;1141.5;61.68468205;69.0868439;13;4;1378.2;370.824;774.9;1257.05;383.1
1923;3;1982;576.9;43.8520239;49.11426677;1;4;692.48;188.5464;388.5;637.39;193.1
7998;2;1950;2399.4;89.43153806;100.1633226;22;6;2886.08;782.4064;1611.1;2643.74;800.6
5392;3;1979;1617.6;73.430239;82.24186768;65;4;1947.22;529.5456;1088.5;1781.66;541.1
3899;1;1975;1169.7;62.44197306;69.93500983;33;6;1412.04;384.0232;784.8;1286.77;392.2
2978;2;1954;893.4;54.5710546;61.11958115;38;4;1085.88;294.4704;601;988.14;298.7
410;2;1966;123;20.24845673;22.67827154;1;4;154.5;48.888;85.8;138.1;44.8
1886;3;1986;565.8;43.4281015;48.63947368;27;8;691.56;191.3648;386.2;626.58;192.2
6979;3;2001;2093.7;83.54040938;93.56525851;28;3;2518.14;678.0672;1409.7;2305.17;699.3
4362;2;1956;1308.6;66.0454389;73.97089157;65;2;1580.52;429.0416;879;1442.16;437.8
8875;2;1967;2662.5;94.20721841;105.5120846;56;6;3200;861.9;1788.8;2929.75;889.6
1666;1;1978;499.8;40.81666326;45.71466286;29;3;602.96;164.0688;339.1;550.08;169.6
8467;1;1944;2540.1;92.0163029;103.0582593;76;4;3058.62;825.6056;1707.3;2795.61;848.4
6581;1;1987;1974.3;81.12336285;90.85816639;29;1;2369.96;645.5408;1320.1;2174.13;661.2
8113;1;1966;2433.9;90.07219327;100.8808565;26;6;2931.08;794.3384;1628.1;2677.29;814.8
5135;2;1967;1540.5;71.65891431;80.25798403;9;4;1854;501.368;1040.4;1696.55;516
2406;2;1993;721.8;49.05099387;54.93711314;27;3;872.46;234.8008;491.7;799.28;242.8
7478;3;1957;2243.4;86.47543004;96.85248164;24;1;2702.88;728.0704;1510.2;2469.54;751.7
153;1;1945;45.9;12.36931688;13.8536349;1;8;69.98;15.2104;38.7;53.19;19.2
1493;3;1959;447.9;38.63935817;43.27608115;12;2;545.28;149.8224;312.6;497.39;151.1
4205;2;1974;1261.5;64.84597135;72.62748791;8;3;1528.8;416.944;846.1;1388.55;422.1
1715;3;1970;514.5;41.41255848;46.3820655;32;6;619.7;167.812;353.9;570.65;171.7
2467;1;1992;740.1;49.66890375;55.6291722;9;2;895.22;241.2056;505.3;820.01;250.7
5303;2;1968;1590.9;72.82170006;81.56030407;13;4;1911.18;517.8304;1068.3;1751.19;533.6
3693;3;2006;1107.9;60.77005842;68.06246543;59;2;1341.68;359.3824;743.6;1218.89;369.5
5750;3;1979;1725;75.82875444;84.92820497;6;2;2083;558.7;1159.2;1900.8;576.6
6362;2;1942;1908.6;79.76214641;89.33360398;52;3;2303.62;619.4416;1274.6;2102.36;637.8
4132;2;1973;1239.6;64.28063472;71.99431089;64;8;1494.32;408.9776;839.7;1369.36;416.7
10622;1;2018;3186.6;103.0630875;115.430658;95;4;3834.92;1033.6096;2127;3511.16;1063.5
9106;3;1987;2731.8;95.4253635;106.8764071;64;4;3279.16;886.4608;1834;3008.68;912.4
5813;2;2017;1743.9;76.24303247;85.39219636;51;6;2102.88;564.6984;1170;1920.99;582.8
29;2;2018;8.7;5.385164807;6.031384584;5;8;22.64;4.1072;11.6;11.17;4.6
2537;2;1989;761.1;50.36864104;56.41287796;34;6;919.72;247.2816;516.9;842.21;254.2
4767;1;1962;1430.1;69.04346457;77.32868032;54;2;1727.72;468.9456;958.5;1575.61;480.2
2775;2;2004;832.5;52.67826876;58.99966102;13;4;1007.8;270.52;565.9;921.25;278.1
4567;1;2018;1370.1;67.57958272;75.68913264;51;3;1655.32;444.0856;925.8;1508.61;458.4
6358;3;1970;1907.4;79.73706792;89.30551607;59;8;2293.28;616.5544;1283.8;2102.34;635.8
1226;1;1963;367.8;35.0142828;39.21599674;12;4;444.36;121.6768;249.8;409.98;125.4
5704;1;1970;1711.2;75.52483035;84.58781;63;3;2062.14;559.8472;1146.3;1887.12;570.4
2140;2;2014;642;46.26013402;51.81135011;22;4;781.3;207.552;440.5;709.1;216.9
5690;3;1943;1707;75.43208866;84.4839393;3;3;2049.3;557.392;1143.1;1881.2;571.6
2398;1;1942;719.4;48.96937819;54.84570357;43;4;865.08;232.1264;487.7;795.74;243.8
9885;2;1999;2965.5;99.4233373;111.3541378;70;3;3566.3;962.668;1980.2;3262.15;991.7
4326;1;2007;1297.8;65.77233461;73.66501476;23;4;1558.16;428.4568;873.6;1428.88;433.8
926;2;1941;277.8;30.43024811;34.08187788;10;4;336.96;98.2368;193.1;308.48;94.3
8488;1;1992;2546.4;92.13034245;103.1859835;4;8;3055.98;822.1384;1712.1;2805.94;850.4
4542;2;1985;1362.6;67.39436178;75.4816852;28;2;1642.02;441.3656;911;1498.96;457.7
4619;3;1945;1385.7;67.96322535;76.11881239;17;4;1664.14;457.0192;927.5;1529.87;463.2
4952;3;1997;1485.6;70.37044834;78.81490214;37;8;1785.62;479.6536;998.1;1635.16;498
5626;2;2007;1687.8;75.00666637;84.00746633;58;8;2037.46;550.8968;1139.1;1859.98;566.4
8147;1;1973;2444.1;90.26073343;101.0920214;36;3;2945.62;798.5296;1632.3;2692.41;816.1
4506;3;2007;1351.8;67.12674579;75.18195528;58;2;1625.06;443.7808;902.9;1492.98;451.6
2182;3;1964;654.6;46.71188286;52.3173088;14;3;796.32;214.9176;447.5;724.66;222
10359;3;1946;3107.7;101.7791727;113.9926734;31;4;3737.04;1011.0512;2084.1;3420.47;1037.6
1922;3;1945;576.6;43.84062043;49.10149489;7;2;701.32;187.2496;386.8;638.26;192.6
1579;2;2012;473.7;39.73663297;44.50502893;27;6;570.94;155.0472;324.7;521.77;159.9
5113;3;1970;1533.9;71.50524456;80.08587391;56;4;1855.48;501.5384;1032.3;1692.79;513.6
3821;2;2014;1146.3;61.81423784;69.23194638;49;6;1381.36;379.4728;778.2;1262.63;382.6
10291;2;2000;3087.3;101.4445661;113.6179141;55;3;3714.16;1005.8688;2059.4;3398.93;1032.1
10821;2;2009;3246.3;104.0240357;116.50692;46;3;3905.76;1051.9728;2179.2;3576.03;1084.7
681;1;2013;204.3;26.0959767;29.22749391;6;4;254.76;70.6208;147.5;225.73;68.2
3523;1;1960;1056.9;59.35486501;66.47744881;21;6;1275.48;341.2264;707;1164.89;354.8
7839;2;1953;2351.7;88.53812738;99.16270267;71;4;2835.54;764.3152;1570;2592.07;784.5
226;2;1979;67.8;15.03329638;16.83729194;4;1;90.66;25.4768;55.4;80.28;25.8
6628;1;2011;1988.4;81.41252975;91.18203332;73;4;2389.48;645.1904;1339.4;2189.74;665.4
5259;1;1999;1577.7;72.51896304;81.2212386;24;4;1899.14;512.3712;1065.7;1737.57;528.5
9767;3;1943;2930.1;98.82813365;110.6875097;12;4;3516.52;947.3456;1956.8;3229.01;980.7
4089;3;1960;1226.7;63.94528911;71.61872381;4;4;1476.64;401.7152;818.6;1349.57;412.4
10304;3;1955;3091.2;101.5086203;113.6896548;96;4;3712.74;998.2272;2067.6;3404.82;1031.2
4871;3;2003;1461.3;69.79254975;78.16765572;25;8;1765.36;473.5128;983.4;1611.93;489.3
2693;2;2016;807.9;51.89412298;58.12141774;45;1;975.18;266.5824;547.7;894.09;270.5
7317;3;1941;2195.1;85.53946458;95.80420033;14;3;2637.22;714.3856;1477.7;2415.01;734.9
8382;3;1979;2514.6;91.55326319;102.5396548;39;1;3018.62;816.7776;1690.4;2768.96;838.3
679;2;1995;203.7;26.05762844;29.18454385;26;3;247.64;72.5272;138.6;227.47;68.6
2882;1;1960;864.6;53.68426213;60.12637358;36;4;1039.62;286.7776;590.4;951.06;289.1
5228;1;2001;1568.4;72.30490993;80.98149912;62;2;1896.88;507.2704;1058.8;1730.54;522.9
6335;3;1963;1900.5;79.59271323;89.14383882;57;8;2280.7;615.028;1272;2091.05;633.9
5126;3;1965;1537.8;71.59608928;80.18761999;63;1;1850.46;503.4968;1030.2;1696.78;515.8
4358;2;1946;1307.4;66.01514978;73.93696775;18;4;1576.38;423.6544;886;1442.34;436.5
1467;3;1999;440.1;38.301436;42.89760832;8;1;531.52;151.7056;302.1;488.61;148.8
5757;3;1999;1727.1;75.87489703;84.97988468;56;8;2079.92;558.7776;1158.3;1900.31;577.1
8831;3;1999;2649.3;93.97340049;105.2502086;65;1;3181.06;857.8408;1778;2914.83;883.6
8838;2;1978;2651.4;94.0106377;105.2919142;65;3;3190.28;862.7184;1780;2918.44;883.9
7752;1;2007;2325.6;88.04544281;98.61089595;33;4;2795.92;756.3936;1556.5;2559.56;775.3
6944;3;1999;2083.2;83.33066662;93.33034662;33;2;2509.74;677.3792;1396.8;2296.12;694.8
5714;2;1969;1714.2;75.59100476;84.66192533;11;4;2058.04;556.8152;1156.8;1885.72;571.5
1848;3;1980;554.4;42.98837052;48.14697498;15;2;678.08;185.4864;372;611.94;188.4
8624;1;2009;2587.2;92.86549413;104.0093534;35;1;3108.14;844.8032;1735;2849.72;863.7
5135;3;1948;1540.5;71.65891431;80.25798403;70;8;1862.2;503.468;1030.2;1697.55;515.7
10466;3;2007;3139.8;102.3034701;114.5798865;11;4;3767.86;1015.2088;2107.4;3457.48;1050.1
6114;1;1980;1834.2;78.19207121;87.57511975;19;3;2207.54;594.8352;1227.4;2022.72;612.2
1569;3;2002;470.7;39.61060464;44.3638772;14;3;570.84;152.1792;328.7;523.37;158.7
8814;1;1970;2644.2;93.88290579;105.1488545;58;2;3181.84;857.9952;1768.7;2913.72;882.8
6568;2;1997;1970.4;81.04319836;90.76838216;74;4;2373.08;640.7824;1321.6;2167.74;657.7
2444;1;2002;733.2;49.43682838;55.36924778;18;4;892.94;245.5792;492.8;810.12;247.1
6653;1;1947;1995.9;81.56592426;91.35383517;23;6;2408.58;653.2104;1342;2200.59;665.3
6841;2;1971;2052.3;82.71033793;92.63557848;67;8;2473.76;671.7088;1369.7;2257.83;687.6
